candidate_id,rank_score,rationale,labeled_at,labeler
CAND_0022375,3,"Analytics Engineer with relevant ML skills and YoE in range, but no expert-level skills and duplicate career descriptions.",2026-07-01T20:04:47.421802+00:00,human_labeler_v1
CAND_0021357,3,Backend Engineer with multiple intermediate retrieval/ML skills and YoE in range; consulting keyword stuffing is minor but noted.,2026-07-01T20:04:47.435241+00:00,human_labeler_v1
CAND_0045224,3,Strong ML-adjacent skills but consulting keyword stuffing and duplicate career descriptions reduce confidence.,2026-07-01T20:04:47.449346+00:00,human_labeler_v1
CAND_0087406,3,Senior Data Engineer with strong data tooling and one advanced ML skill; clean honeypot record.,2026-07-01T20:04:47.462134+00:00,human_labeler_v1
CAND_0017234,4,"Senior Data Engineer with two advanced ML skills, YoE in target range, and no honeypot flags.",2026-07-01T20:04:47.475159+00:00,human_labeler_v1
CAND_0058768,4,Backend Engineer with multiple advanced retrieval/ML skills and YoE in range; consulting keyword stuffing is minor.,2026-07-01T20:04:47.488453+00:00,human_labeler_v1
CAND_0027065,2,"Data Engineer with relevant LLM/RAG exposure but based in USA and unwilling to relocate, limiting fit.",2026-07-01T20:04:47.500925+00:00,human_labeler_v1
CAND_0011343,3,"Analytics Engineer with intermediate ML/systems skills and YoE in range, but at consulting firm with keyword stuffing.",2026-07-01T20:04:47.514094+00:00,human_labeler_v1
CAND_0009685,4,"Senior Data Engineer with multiple advanced ML/retrieval skills and YoE in range, despite consulting-firm flags.",2026-07-01T20:04:47.527535+00:00,human_labeler_v1
CAND_0003311,4,"Analytics Engineer with advanced vector-search and MLOps skills, YoE in range, and clean honeypot record.",2026-07-01T20:04:47.541878+00:00,human_labeler_v1
CAND_0080238,2,Frontend engineer with some ML-adjacent skills but no ML-focused career evidence and title mismatch.,2026-07-01T20:04:47.555655+00:00,human_labeler_v1
CAND_0066740,2,Full-stack developer with some data engineering exposure but limited ML relevance and no advanced skills.,2026-07-01T20:04:47.568755+00:00,human_labeler_v1
CAND_0029041,3,"Java Developer with one advanced ML skill and several data/ML tools, YoE in range; title is adjacent.",2026-07-01T20:04:47.581947+00:00,human_labeler_v1
CAND_0012758,2,.NET developer with a relevant LLM skill but short duration and limited overall ML depth.,2026-07-01T20:04:47.595274+00:00,human_labeler_v1
CAND_0089611,2,Mobile developer with one RAG skill but otherwise not aligned with the ML engineering role.,2026-07-01T20:04:47.609026+00:00,human_labeler_v1
CAND_0009880,3,"Software Engineer with an advanced ML skill and data tooling, but consulting firm and duplicate descriptions.",2026-07-01T20:04:47.622606+00:00,human_labeler_v1
CAND_0035625,3,.NET Developer with multiple relevant ML/data skills including advanced forecasting; title is adjacent.,2026-07-01T20:04:47.635773+00:00,human_labeler_v1
CAND_0037774,2,Full-stack developer with one advanced computer-vision skill but consulting keyword stuffing and limited ML focus.,2026-07-01T20:04:47.648573+00:00,human_labeler_v1
CAND_0098225,2,Java Developer with one RAG skill and data tooling but limited ML depth and junior-ish YoE.,2026-07-01T20:04:47.661739+00:00,human_labeler_v1
CAND_0007276,3,".NET Developer with two advanced ML/relevant skills and long duration, but title mismatch and duplicate descriptions.",2026-07-01T20:04:47.674925+00:00,human_labeler_v1
CAND_0010164,1,Mechanical Engineer with minimal YoE and stale profile; one ML deployment skill does not overcome mismatch.,2026-07-01T20:04:47.688476+00:00,human_labeler_v1
CAND_0025938,0,Civil Engineer with no ML/ranking skills and unwilling to relocate; completely outside target profile.,2026-07-01T20:04:47.701893+00:00,human_labeler_v1
CAND_0019025,1,Graphic Designer title with some data tooling exposure but no ML relevance and multiple honeypot flags.,2026-07-01T20:04:47.714715+00:00,human_labeler_v1
CAND_0065286,1,Operations Manager with only one short-duration ML-adjacent skill and no engineering career evidence.,2026-07-01T20:04:47.728323+00:00,human_labeler_v1
CAND_0054507,0,"Customer Support role with no engineering title, no India/relocate fit, and duplicate career descriptions.",2026-07-01T20:04:47.741201+00:00,human_labeler_v1
CAND_0069174,1,Content Writer with some tech tool exposure but no ML/ranking career evidence and stale activity signals.,2026-07-01T20:04:47.754446+00:00,human_labeler_v1
CAND_0086039,0,Business Analyst in USA unwilling to relocate with no ML skills and consulting keyword stuffing.,2026-07-01T20:04:47.767760+00:00,human_labeler_v1
CAND_0093790,0,Civil Engineer with no ML/ranking skills and duplicate career descriptions.,2026-07-01T20:04:47.780779+00:00,human_labeler_v1
CAND_0095515,1,Accountant with some backend skills but title/career mismatched to ML engineering and stale profile.,2026-07-01T20:04:47.793786+00:00,human_labeler_v1
CAND_0061436,2,Project Manager with one advanced ML tooling skill but no hands-on engineering/ranking evidence.,2026-07-01T20:04:47.807010+00:00,human_labeler_v1
